Event,Range (start time in minutes - end time in minutes),Duration (in seconds),Video clip,Whole Video Link
"Fight, hit and run",,,,V011
Theft e-scooter,,,,V011
Drink & smoke,,,,V011
Group fight,,,,V011
E1-theft form building,0:18-0:27,9,,V012
E2_walking dog,1:45-1:59,15,,V012
"E3_rob people,kinfe",10:21-11:04,43,,V012
"E4_rob people,weapon",12:12-12:45,34,,V012
E5_smoking and arson,14:03-14:18,15,,V012
E6_damagebuilding_spray,15:31-16:25,54,,V012
E7-attack_escooer,16:56-18:28,32,,V012
E8_group fighting,21:14-22:23,69,,V012
E1_Smoking with a no-smoke sign,0-0:40,40,,V013
E2_Theft from car,01:48-02:44,56,,V013
E3_car in wrong way,03:56-04:10,53,,V013
E4_ drunk man,5:34-06:30,,,V013
E5_2 people rob one person's bag,08:34-08:59,25,,V013
E6_damage_building_paint on the wall,11:45 -12:17,33,,V013
E7_robbery,15:22-15:47,25,,V013
E8_drunk 2 people,19:54 -20:15,21,,V013
E9_people lying,23:18-23:48,30,,V013
E1_assualt_attack people by ball,0:17-0:44,27,,V014
E2_hit_and_run,03:16-03:26,10,,V014
E3_people lying and drunk,05:55-06:17,23,,V014
E4_kidnipping,11:49-12:16,27,,V014
E5_Suspicious pakage,17:53-18:25,32,,V014
E6_robots wrong: shake/stop view,20:57 -21:50,53,,V014
E7_theft from people,23:43-23:56,13,,V014
E1-robots viewport stop/changed,11:27-11:45,18,,V015
E2_assulat/,15:39-15:57,18,,V015
E1_inpropoer action (dance)_maybe medical issue,0:24-01:00,36,,V016
E2_people lying on the ground,2:17-03:57,60,,V016
E3_people leave a bag,06:28-06:44,16,,V016
E4_breake car/ theft from the car,08:43-09:13,35,,V016
E5_fighting_2 people_rob,13:09-13:30,21,,V016
E6_carrying and putting suspicious objects into the forbidden area,15:21-15:32,11,,V016
E7_people falling down,16:37–16:58,21,,V016
E8_assault,20:23-20:52,29,,V016
E9_smoking drug,26:03-26:25,22,,V016
E10_vandaism building_ try_to_break_into_the_video,28:03-29:00,57,,V016
E1_rob bag,01:47-02:00,13,,V017
E2_assualt_ abuse_hurt some one,03:55-04:52,57,,V017
E3_assualt_blind people,05:55-06:45,32,,V017
E4_crowd gathering_for music(no viloent),09:24-10:00,46,,V017
E5_shooting_gun_rob,11:40-12:05,25,,V017
E6_drunk_drinking,14:30-14:55,25,,V017
E7_fight,17:55-18:04,9,,V017
E1_group_fighting_brawing,03:44-04:23,47,,V018
E2_arson_lighting_paper,06:55-07:10,20,,V018
E3_arson_firelighting,9:49-10:-00,11,,V018
E4_theft_public staff,13:00 - 13:18,18,,V018
E5_smoking_drug,15:03-15:24,21,,V018
E6_assualt_attack,19:53-19:05,17,,V018
E7_people falling,23:53-25:00,67,,V018
E1_harresment stalking,03:00-04:33,93,,V019
E2_fighting_3ppl,04:32-05:00,28,,V019
E3_assualt_hit_and_run_people_falling,07:05-07:29,23,,V019
E4_harresment stalking,11:38-14:42,186,,V019
E5_weapon(gun) holding_assualt_people_faling,19:32-19:50,25,,V019
E6_fight_grouop_brawling,25:47 - 26:43,56,,V019
E7_susiposious bag_switching_bag,28:27 - 28:39,14,,V019
E1_Theft from car,0:12-0:21,9,,V020
E2_blocking people_assualt_harresment,05:25-05:45,20,,V020
E3_drunk+assualt_rob_phone,11:20-11:56,36,,V020
E4_Prohibited U-turns_inpropreiate driving,26:40-27:34,54,,V020
E5_Prohibited U-turns,28:35-29:05,30,,V020
